backers_count,blurb,category,country_displayable_name,created_at,creator,deadline,goal,launched_at,location,name,pledged,slug,spotlight,staff_pick,state,state_changed_at,urls,usd_pledged
0,the movie is based on this short story that 3 friends are cowriting it is bizarre we each write separate chapters independently,Experimental,the United States,1416688723,Christopher Conrad,1418063800,5000.0,1416854200,"Cleveland, OH",The Quintessential American Novel: A Film,0.0,the quintessential american novel a film,False,False,failed,1418063800,https://www.kickstarter.com/projects/1795729504/the-quintessential-american-novel-a-film?ref=discovery_category_newest,0.0
22,a man is haunted by images from his nightmares that seem to manifest physically and are beyond his control,Horror,the United States,1453872980,Daniel Rivas,1457822799,800.0,1455230799,"Seattle, WA",Demons: A Short Film,1011.0,demons a short film,True,False,successful,1457822799,https://www.kickstarter.com/projects/634686364/demons-a-short-film?ref=discovery_category_newest,1011.0
0,light is a film where everything is not as easy as it seem for two teen geniuses trying to make it big,Family,the United States,1436398288,dakota A still,1448760810,1000.0,1446165210,"Atlanta, GA",light: the movie,0.0,light the movie,False,False,failed,1448760812,https://www.kickstarter.com/projects/1516049806/light-the-movie?ref=discovery_category_newest,0.0
122,tiny out loud challenges scale the art world and your sense of humor,Experimental,the United States,1365889493,S.Dot Galleries,1371427200,4700.0,1368579168,"Columbus, OH",Tiny Out Loud : A bigger than life miniature film,7492.0,tiny out loud a bigger than life miniature film,True,True,successful,1371427234,https://www.kickstarter.com/projects/349550389/tiny-out-loud-a-bigger-than-life-miniature-film?ref=discovery_category_newest,7492.0
102,"its time for awareness and selflove 

are you ready for a glimpse into the life of the israelites",Documentary,the United States,1440596632,Reuben Ben Israel,1443974254,4000.0,1441382254,"Washington, DC",A Day In The Light Of An Israelite,4314.0,a day in the light of an israelite,True,False,successful,1443974254,https://www.kickstarter.com/projects/320100755/a-day-in-the-light-of-an-israelite?ref=discovery_category_newest,4314.0
3,the exploration of mental illness in the africanamerican community through the eyes of teenager trevor collins,Drama,the United States,1565296410,V. Lash Productions,1570507140,500.0,1566389643,"New York, NY",Black Boy Run - A feature length film,23.0,black boy run a feature length film,False,False,failed,1570507140,https://www.kickstarter.com/projects/vlashproductions/black-boy-run-a-feature-length-film?ref=discovery_category_newest,23.0
14,this will be a selfsustaining program where people will learn to present and publish their stories for television movies and web,Experimental,the United States,1392940920,Randall Reese,1404082806,1800.0,1401922806,"Boise, ID",The Idaho Open Media Project,680.0,the idaho open media project,False,False,failed,1404082812,https://www.kickstarter.com/projects/1205843640/the-idaho-open-media-project?ref=discovery_category_newest,680.0
287,a legendary tournament a brash mechanic determined to defeat a giant mechanical scorpion and the wife and son caught in the middle,Animation,the United States,1403034090,Luckbat Studio,1418791243,75000.0,1416199243,"Brooklyn, NY",The Ottoman - animated short film,76700.1,the ottoman animated short film,True,True,successful,1418791243,https://www.kickstarter.com/projects/1027198543/the-ottoman-animated-short-film?ref=discovery_category_newest,76700.1
54,a second 5 episode season of the mildly beloved comedy series,Webseries,the United States,1365454472,Jason Ryan,1375330602,2500.0,1372652202,"Seattle, WA",Real Adult Feelings: Season 2,3071.18,real adult feelings season 2,True,False,successful,1375330602,https://www.kickstarter.com/projects/jasonryan/real-adult-feelings-season-2?ref=discovery_category_newest,3071.18
1647,build an oven powered by just a few twigs from your yard the carbon footprint is about 1 that of an electric oven,Documentary,the United States,1528982004,paul wheaton,1532634032,8700.0,1529955632,"Missoula, MT",Rocket Ovens Feature Length Documentary,80016.31,rocket ovens feature length documentary,True,False,successful,1532634032,https://www.kickstarter.com/projects/paulwheaton/rocket-ovens-feature-length-documentary?ref=discovery_category_newest,80016.31
0,films are a way to share a story thats great help an individual out please,Experimental,the United States,1423546369,RMfor Avaddohn,1427947140,10000000.0,1423556899,"Mount Pocono, PA",The C. . . HOME & Film- To film or slog?,0.0,the c home and film to film or slog,False,False,failed,1427947141,https://www.kickstarter.com/projects/102961356/the-c-home-and-film-to-film-or-slog?ref=discovery_category_newest,0.0
83,a heartbroken gamer takes off on a trip filled with a tsa shakedown acapella group and a borrowed chicken costume  all for love,Comedy,the United States,1491694553,Emily Skyle,1494871373,10027.0,1492452173,"Reno, NV",Dear George: A Little Romantic Comedy with a Big Heart!,10055.0,dear george a little romantic comedy with a big he 0,True,False,successful,1494871373,https://www.kickstarter.com/projects/deargeorge/dear-george-a-little-romantic-comedy-with-a-big-he-0?ref=discovery_category_newest,10055.0
2,a reality documentarystyle show that spotlights indie artists of all walks and genres as they take the house of rhymez stage,Television,the United States,1407306093,HOUSE OF RHYMEZ TV,1412481600,5000.0,1409774304,"Atlanta, GA",House Of Rhymez TV Season 1,50.0,house of rhymez tv season 1,False,False,failed,1412481610,https://www.kickstarter.com/projects/1802479218/house-of-rhymez-tv-season-1?ref=discovery_category_newest,50.0
2,laughing jack is a creepypasta of a supernatural clown who poses as childrens imaginary friend,Horror,the United States,1549042741,Jughead JoJo,1554226160,15000.0,1549045760,"Tempe, AZ",Laughing Jack,31.0,laughing jack,False,False,failed,1554226280,https://www.kickstarter.com/projects/jugheadjojo/laughing-jack?ref=discovery_category_newest,31.0
